Path found!
Starting point = (0.000000, 0.937500)
Final point = (179.203866, 0.532852)
Cost = 1833.000000
nodes = 1834
(51.643130, 2.002952)
(51.742564, 1.992326)
(51.842508, 1.988977)
(51.942484, 1.991163)
(52.042476, 1.989888)
(52.142419, 1.993271)
(52.242271, 1.987842)
(52.342251, 1.989865)
(52.441677, 2.000560)
(52.541666, 1.999040)
(52.641658, 1.997784)
(52.741653, 1.996781)
(52.841620, 1.999356)
(52.941619, 1.999712)
(53.041619, 1.999913)
(53.141611, 2.001182)
(53.241611, 2.001286)
(53.341547, 1.997725)
(53.441537, 1.996272)
(53.541515, 1.998360)
(53.641515, 1.998585)
(53.741476, 1.995809)
(53.839963, 1.978477)
(53.939936, 1.976154)
(54.039903, 1.978697)
(54.139842, 1.975195)
(54.239842, 1.975390)
(54.339817, 1.973153)
(54.439797, 1.975141)
(54.539767, 1.977586)
(54.639765, 1.976883)
(54.739754, 1.975403)
(54.838747, 1.989558)
(54.938744, 1.990273)
(55.038622, 1.985335)
(55.138563, 1.981911)
(55.238533, 1.979460)
(55.338493, 1.982310)
(55.438451, 1.985188)
(55.528170, 2.029352)
(55.628165, 2.028364)
(55.728110, 2.025025)
(55.828108, 2.024439)
(55.928077, 2.026940)
(56.028077, 2.027081)
(56.128027, 2.023942)
(56.228002, 2.026181)
(56.328000, 2.026791)
(56.427987, 2.028404)
(56.527964, 2.030553)
(56.627964, 2.030943)
(56.727959, 2.030011)
(56.827944, 2.031730)
(56.927941, 2.030850)
(57.027905, 2.028170)
(57.127714, 2.021993)
(57.227705, 2.023328)
(57.327704, 2.023811)
(57.427667, 2.026500)
(57.527657, 2.027927)
(57.627657, 2.027692)
(57.727644, 2.029292)
(57.824353, 2.003848)
(57.924349, 2.002917)
(58.024348, 2.002500)
(58.124343, 2.003524)
(58.224340, 2.004302)
(58.324333, 2.005428)
(58.424258, 2.001559)
(58.524253, 2.002593)
(58.624086, 1.996811)
(58.724072, 1.998484)
(58.823737, 1.990312)
(58.923734, 1.989499)
(59.023733, 1.989984)
(59.123717, 1.988191)
(59.223005, 1.976282)
(59.322438, 1.965647)
(59.422417, 1.967687)
(59.522365, 1.970906)
(59.622365, 1.970801)
(59.722358, 1.971977)
(59.822348, 1.973390)
(59.922348, 1.973678)
(60.021355, 1.959619)
(60.121330, 1.957404)
(60.220487, 1.970362)
(60.320485, 1.969768)
(60.420470, 1.968015)
(60.520462, 1.969265)
(60.620445, 1.967441)
(60.720422, 1.969586)
(60.820422, 1.969851)
(60.919158, 1.985701)
(61.019151, 1.984553)
(61.119148, 1.983719)
(61.219145, 1.982981)
(61.319144, 1.983525)
(61.419117, 1.985819)
(61.519117, 1.986068)
(61.619089, 1.983686)
(61.719050, 1.986470)
(61.819024, 1.984200)
(61.919001, 1.986356)
(62.018980, 1.984292)
(62.118926, 1.987563)
(62.218875, 1.984366)
(62.318874, 1.984801)
(62.418785, 1.980580)
(62.518782, 1.979810)
(62.618759, 1.977667)
(62.718746, 1.979255)
(62.818734, 1.980810)
(62.918727, 1.979567)
(63.018719, 1.980820)
(63.118701, 1.982720)
(63.218694, 1.983919)
(63.318692, 1.984501)
(63.416549, 1.963911)
(63.516542, 1.962740)
(63.616501, 1.965604)
(63.716309, 1.959404)
(63.816309, 1.959680)
(63.916273, 1.957003)
(64.016270, 1.956314)
(64.116265, 1.957323)
(64.216218, 1.960388)
(64.316217, 1.959936)
(64.416192, 1.962178)
(64.516192, 1.961827)
(64.616182, 1.963179)
(64.715407, 1.950747)
(64.815399, 1.951972)
(64.915354, 1.948954)
(65.015300, 1.945670)
(65.115264, 1.948332)
(65.215234, 1.945881)
(65.314975, 1.938690)
(65.414975, 1.938640)
(65.514500, 1.928907)
(65.614500, 1.928983)
(65.714477, 1.926803)
(65.814477, 1.926635)
(65.914438, 1.929419)
(66.014431, 1.928262)
(66.113948, 1.918450)
(66.213934, 1.920135)
(66.313924, 1.918670)
(66.413703, 1.925307)
(66.513669, 1.927927)
(66.613647, 1.929996)
(66.713070, 1.919268)
(66.813067, 1.920068)
(66.913048, 1.922003)
(67.013046, 1.921295)
(67.111947, 1.936076)
(67.211944, 1.936930)
(67.311770, 1.931043)
(67.411770, 1.931300)
(67.511748, 1.933389)
(67.599988, 1.980439)
(67.699987, 1.980830)
(67.799962, 1.978565)
(67.899961, 1.978696)
(67.999879, 1.974642)
(68.099879, 1.974785)
(68.199874, 1.975788)
(68.299867, 1.976968)
(68.399793, 1.973124)
(68.499793, 1.973001)
(68.599739, 1.969722)
(68.699713, 1.972033)
(68.797722, 1.991885)
(68.897706, 1.990066)
(68.997567, 1.984806)
(69.097563, 1.983825)
(69.197543, 1.985827)
(69.297524, 1.983879)
(69.397524, 1.983769)
(69.497520, 1.984664)
(69.596967, 1.974167)
(69.696890, 1.978095)
(69.796889, 1.977709)
(69.896888, 1.978215)
(69.996703, 1.972144)
(70.096681, 1.974282)
